"","x"
"1",1
"2",0.91721741270153
"3",0.706231974376751
"4",0.626793220936482
"5",0.574424468139189
"6",0.579800321052652
"7",0.545518533064879
"8",0.595538728429359
"9",0.661836166835574
"10",0.647070951218296
"11",0.661119088232493
"12",0.66983768249285
"13",0.650430485876129
"14",0.653029861949616
"15",0.676142134463805
"16",0.680036618687748
"17",0.668555905281003
"18",0.663043338994054
"19",0.618906300462333
"20",0.648171107834613
"21",0.632230141250925
"22",0.502288133826233
"23",0.529811863022026
"24",0.541582056528837
"25",0.510596967360598
"26",0.476816884975384
"27",0.418372746890292
"28",0.398404474726847
"29",0.406838688801578
"30",0.362411292890293
"31",0.483504311284251
"32",0.418152230183045
"33",0.363875539233146
"34",0.358982934076319
"35",0.379945236440557
